model,condition,n,any_acc_ci,micro_f1_ci,macro_f1_ci,severity_f1_ci,false_alarm_ci,missed_major_ci,brier_ci,mean_sec_ci
qwen2.5-coder:32b,rubric_guided,613,"0.672 [0.635, 0.708]","0.247 [0.218, 0.276]","0.220 [0.172, 0.265]","0.260 [0.229, 0.293]","0.175 [0.145, 0.207]","0.036 [0.021, 0.051]","0.284 [0.257, 0.312]","21.777 [16.883, 28.580]"
qwen2.5-coder:32b,zero_shot,613,"0.661 [0.620, 0.697]","0.220 [0.190, 0.249]","0.219 [0.171, 0.263]","0.232 [0.200, 0.265]","0.153 [0.127, 0.183]","0.042 [0.028, 0.059]","0.286 [0.259, 0.314]","14.330 [13.850, 14.825]"
gemma3:4b,zero_shot,613,"0.657 [0.620, 0.698]","0.113 [0.088, 0.139]","0.146 [0.104, 0.179]","0.131 [0.102, 0.162]","0.323 [0.284, 0.361]","0.007 [0.002, 0.013]","0.274 [0.245, 0.302]","9.522 [4.898, 16.108]"
qwen2.5-coder:14b,rubric_guided,613,"0.478 [0.439, 0.517]","0.187 [0.149, 0.225]","0.112 [0.085, 0.139]","0.175 [0.136, 0.216]","0.033 [0.020, 0.047]","0.078 [0.059, 0.101]","0.337 [0.301, 0.372]","4.858 [4.679, 5.043]"
qwen2.5-coder:1.5b,zero_shot,613,"0.657 [0.618, 0.695]","0.124 [0.099, 0.152]","0.063 [0.048, 0.080]","0.130 [0.103, 0.160]","0.334 [0.297, 0.372]","0.003 [0.000, 0.008]","0.238 [0.218, 0.260]","0.966 [0.947, 0.985]"
