model,condition,family,type,n,selection_score,parse_rate,any_defect_accuracy,type_f1,macro_type_f1,severity_weighted_f1,type_precision,type_recall,type_exact_match_rate,false_alarm_rate,missed_defect_rate,missed_major_or_critical_rate,span_support_rate,brier_any_defect,ece_any_defect,mean_elapsed_sec,reason
qwen2.5-coder:32b,rubric_guided,Qwen2.5-Coder,code-specialized,613,38.315707492284794,0.9951060358890701,0.6721044045676998,0.24717407686510925,0.21994529320647838,0.26046511627906976,0.19523809523809524,0.33675564681724846,0.200652528548124,0.17455138662316477,0.1533442088091354,0.03588907014681892,0.963855421686747,0.2840008156606853,0.14706362153344138,21.77665252854812,well-grounded spans; slow runtime; largest installed local code-specialized baseline
gemma3:4b,zero_shot,Gemma 3,general-instruct,613,30.464879529949446,0.9885807504078303,0.6574225122349103,0.11338289962825278,0.14647996450869563,0.13132911392405067,0.1035653650254669,0.12525667351129363,0.09135399673735727,0.32300163132137033,0.01957585644371941,0.0065252854812398045,0.8809523809523809,0.27408646003262443,0.19755301794454222,9.521787928221865,high false-alarm rate; low missed-defect rate; well-grounded spans; Google-family baseline
qwen3:4b,zero_shot,Qwen3,general-instruct,613,28.109344493283132,1.0,0.6313213703099511,0.07851239669421489,0.10311174303553342,0.09409751924721986,0.079002079002079,0.07802874743326489,0.15171288743882544,0.2234910277324633,0.14518760195758565,0.052202283849918436,0.9778270509977827,0.27651908646003126,0.23295269168025765,48.733729200652554,weak defect-type discrimination; well-grounded spans; slow runtime; newer general Qwen-family baseline
qwen2.5-coder:14b,rubric_guided,Qwen2.5-Coder,code-specialized,613,28.106683725341014,0.99836867862969,0.47797716150081565,0.18722139673105495,0.1121670118235182,0.17535545023696683,0.3387096774193548,0.1293634496919918,0.3442088091353997,0.03262642740619902,0.4893964110929853,0.07830342577487764,0.9754098360655737,0.3369316476345836,0.5012561174551387,4.857794453507338,low false-alarm rate; misses many defects; well-grounded spans; poor confidence calibration; larger code baseline
qwen2.5-coder:1.5b,zero_shot,Qwen2.5-Coder,code-specialized,613,28.048870092896298,0.9918433931484503,0.6574225122349103,0.12427506213753108,0.06334493882321852,0.13002191380569758,0.10416666666666667,0.1540041067761807,0.0864600326264274,0.33442088091353994,0.008156606851549755,0.0032626427406199023,0.4286898839137645,0.23835383360522025,0.12109298531810521,0.9658417618270801,poor minority-defect coverage; high false-alarm rate; low missed-defect rate; fast runtime; fast small code baseline
qwen2.5vl:3b,zero_shot,Qwen2.5-VL,vision-language,613,24.625436900259913,0.9771615008156607,0.6818923327895595,0.056657223796033995,0.011037527593818984,0.0642504118616145,0.05244755244755245,0.061601642710472276,0.0766721044045677,0.2969004893964111,0.021207177814029365,0.011419249592169658,0.4125874125874126,0.2493438825448594,0.16026101141924418,1.8348727569331147,weak defect-type discrimination; poor minority-defect coverage; low missed-defect rate; fast runtime; Qwen multimodal robustness baseline
llama3.2:3b,zero_shot,Llama 3.2,general-instruct,613,23.08979583463303,0.9951060358890701,0.6378466557911908,0.064030131826742,0.06768834545018189,0.07066557107641742,0.059130434782608696,0.06981519507186858,0.06851549755301795,0.32137030995106036,0.040783034257748776,0.021207177814029365,0.03925233644859813,0.2652489396411075,0.18208809135399112,0.8387096247960861,weak defect-type discrimination; poor minority-defect coverage; high false-alarm rate; low missed-defect rate; fast runtime; non-Qwen general baseline
qwen2.5-coder:7b,zero_shot,Qwen2.5-Coder,code-specialized,613,21.798380727433013,1.0,0.48613376835236544,0.052287581699346414,0.06526943551954521,0.05188067444876784,0.128,0.03285420944558522,0.33931484502446985,0.026101141924959218,0.48776508972267535,0.10766721044045677,0.9117647058823529,0.3438825448613376,0.5212071778140288,2.2012675367047314,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans; poor confidence calibration; fast runtime; mid-size code baseline
qwen2.5:3b,rubric_guided,Qwen2.5,general-instruct,613,19.77585441446796,0.9918433931484503,0.4094616639477977,0.029304029304029307,0.026458776281596975,0.03730272596843616,0.13559322033898305,0.01642710472279261,0.3376835236541599,0.01468189233278956,0.5758564437194127,0.09135399673735727,0.9491525423728814,0.23914779771615008,0.345415986949429,1.1055464926590521,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans; fast runtime; general Qwen baseline
deepseek-coder:6.7b,rubric_guided,DeepSeek-Coder,code-specialized,613,14.89809320845325,1.0,0.3572593800978793,0.01609657947686117,0.01616161616161616,0.024615384615384615,0.4,0.008213552361396304,0.3425774877650897,0.0,0.6427406199021207,0.11908646003262642,0.6666666666666666,0.34371941272430667,0.6419249592169657,1.611975530179444,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; poor confidence calibration; fast runtime; non-Qwen code-specialized baseline
qwen2.5-coder:3b,rubric_guided,Qwen2.5-Coder,code-specialized,613,14.664594453507343,1.0,0.34094616639477976,0.0,0.0,0.0,0.0,0.0,0.34094616639477976,0.0016313213703099511,0.6574225122349103,0.12561174551386622,1.0,0.34195905383360525,0.6582871125611746,0.8682675367047307,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; well-grounded spans; poor confidence calibration; fast runtime; small code baseline
granite3.2-vision:latest,rubric_guided,Granite 3.2 Vision,vision-language,613,11.850983999435506,0.9967373572593801,0.3539967373572594,0.011320754716981133,0.008888888888888887,0.008875739644970414,0.06976744186046512,0.006160164271047228,0.32463295269168024,0.004893964110929853,0.6411092985318108,0.12071778140293637,0.0,0.3098582381729197,0.583572593800974,0.871252854812398,weak defect-type discrimination; poor minority-defect coverage; low false-alarm rate; misses many defects; poor confidence calibration; fast runtime; IBM-family multimodal robustness baseline
