model,condition,source_type,gold_label_source,n,parse_rate,any_defect_accuracy,type_exact_match_rate,type_precision,type_recall,type_f1,macro_type_precision,macro_type_recall,macro_type_f1,supported_defect_types,severity_weighted_precision,severity_weighted_recall,severity_weighted_f1,false_alarm_rate,missed_defect_rate,missed_major_or_critical_rate,mean_over_report_count,mean_under_report_count,mean_severity_abs_error,span_support_rate,unsupported_span_rate,mean_confidence,brier_any_defect,ece_any_defect,high_confidence_wrong_rate,low_confidence_correct_rate,needs_human_review_rate,mean_pred_defect_count,mean_elapsed_sec
gemma3:4b,rubric_guided,acceptance_criterion,rule_seeded,96,0.9791666666666666,0.2604166666666667,0.020833333333333332,0.06382978723404255,0.13953488372093023,0.0875912408759124,0.09047619047619047,0.12912087912087913,0.09129967776584318,7,0.10204081632653061,0.16129032258064516,0.12500000000000003,0.71875,0.020833333333333332,0.0,0.71875,0.1875,0.8125,0.7872340425531915,0.2127659574468085,0.8354166666666663,0.5495312499999994,0.5749999999999997,0.71875,0.0,0.0,0.9791666666666666,3.8088020833333336
gemma3:4b,rubric_guided,function_spec,test_oracle_derived,200,0.995,0.715,0.01,0.020100502512562814,0.02631578947368421,0.02279202279202279,0.013457748213845775,0.08712121212121211,0.02168174962292609,6,0.024630541871921183,0.03225806451612903,0.02793296089385475,0.28,0.005,0.0,0.28,0.045,0.305,0.9296482412060302,0.07035175879396985,0.8477499999999971,0.22498750000000023,0.13274999999999706,0.28,0.0,0.0,0.995,3.212864999999998
gemma3:4b,rubric_guided,issue_statement,rule_seeded,96,0.96875,0.5833333333333334,0.052083333333333336,0.13953488372093023,0.10256410256410256,0.11822660098522168,0.07374338624338622,0.07029967159277503,0.05388816952357463,9,0.18421052631578946,0.10344827586206896,0.13249211356466875,0.3541666666666667,0.0625,0.03125,0.3541666666666667,0.6770833333333334,0.8333333333333334,0.6046511627906976,0.3953488372093023,0.8765624999999999,0.3236718750000001,0.31406250000000063,0.3958333333333333,0.010416666666666666,0.010869565217391304,0.8958333333333334,4.096208333333334
gemma3:4b,rubric_guided,layout_change_spec,mutation_description_derived,120,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.008333333333333333,0.375,0.95,0.05,0.8508333333333319,0.28483333333333377,0.2266666666666652,0.375,0.0,0.0,1.0,3.2008083333333333
gemma3:4b,rubric_guided,synthetic_defect,synthetic_injected,96,1.0,1.0,0.34375,0.34375,0.34375,0.34375,0.35944741532976826,0.34375,0.29855021009443794,8,0.4,0.3181818181818182,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.9375,0.0625,0.8499999999999995,0.02249999999999998,0.15000000000000047,0.0,0.0,0.0,1.0,3.2670729166666663
gemma3:4b,rubric_guided,testing_rule_spec,rule_spec_derived,5,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.6,0.25,0.75,0.6799999999999999,0.29799999999999993,0.48,0.4,0.2,0.0,0.8,3.4296000000000006
gemma3:4b,zero_shot,acceptance_criterion,rule_seeded,96,0.9791666666666666,0.2604166666666667,0.041666666666666664,0.09574468085106383,0.20930232558139536,0.13138686131386862,0.1023391812865497,0.18681318681318682,0.10524051517840337,7,0.1326530612244898,0.20967741935483872,0.1625,0.71875,0.020833333333333332,0.0,0.71875,0.1875,0.8125,0.851063829787234,0.14893617021276595,0.833333333333333,0.5457812499999992,0.573958333333333,0.71875,0.0,0.0,0.9791666666666666,2.663437500000001
gemma3:4b,zero_shot,function_spec,test_oracle_derived,200,0.995,0.715,0.01,0.015,0.019736842105263157,0.017045454545454544,0.009110216856695729,0.07196969696969698,0.014861721375032307,6,0.01951219512195122,0.025806451612903226,0.022222222222222223,0.28,0.005,0.0,0.285,0.045,0.305,0.9246231155778895,0.075,0.846749999999997,0.2251875000000002,0.13174999999999695,0.28,0.0,0.0,1.0,5.209345
gemma3:4b,zero_shot,issue_statement,rule_seeded,96,0.96875,0.65625,0.16666666666666666,0.2,0.1282051282051282,0.15625,0.1259525075314549,0.09179438058748403,0.08252749128325164,9,0.24752475247524752,0.12315270935960591,0.1644736842105263,0.2604166666666667,0.08333333333333333,0.041666666666666664,0.2604166666666667,0.6979166666666666,0.7291666666666666,0.6,0.4,0.8744791666666668,0.32242187500000014,0.24947916666666722,0.3229166666666667,0.010416666666666666,0.021505376344086023,0.78125,2.642052083333333
gemma3:4b,zero_shot,layout_change_spec,mutation_description_derived,120,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.008333333333333333,0.375,0.9833333333333333,0.016666666666666666,0.8499999999999984,0.28500000000000036,0.22499999999999842,0.375,0.0,0.0,1.0,3.8824083333333337
gemma3:4b,zero_shot,synthetic_defect,synthetic_injected,96,0.9895833333333334,0.9895833333333334,0.3541666666666667,0.35789473684210527,0.3541666666666667,0.35602094240837695,0.3548611111111111,0.3541666666666667,0.32566825711475816,8,0.4019607843137255,0.3106060606060606,0.3504273504273504,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.4270833333333333,0.9263157894736842,0.07368421052631578,0.8390624999999997,0.03351562499999998,0.1505208333333337,0.0,0.0,0.0,0.9895833333333334,39.50353125000001
gemma3:4b,zero_shot,testing_rule_spec,rule_spec_derived,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.2,0.8,0.6,0.4,0.85,0.4424999999999999,0.44999999999999996,0.6,0.0,0.0,1.0,5.4864
granite3.2-vision:latest,rubric_guided,acceptance_criterion,rule_seeded,96,1.0,0.71875,0.71875,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.28125,0.07291666666666667,0.0,0.4479166666666667,0.3541666666666667,0.0,0.0,0.9500000000000016,0.6493750000000009,0.23125000000000162,0.28125,0.0,0.0,0.0,0.7759479166666666
granite3.2-vision:latest,rubric_guided,function_spec,test_oracle_derived,200,1.0,0.285,0.245,0.125,0.019736842105263157,0.03409090909090909,0.03125,0.1875,0.05357142857142857,4,0.125,0.01935483870967742,0.033519553072625705,0.0,0.715,0.005,0.05,0.69,0.705,0.0,1.0,0.9337499999999974,0.24393749999999986,0.648749999999999,0.715,0.0,0.0,0.12,0.8653150000000001
granite3.2-vision:latest,rubric_guided,issue_statement,rule_seeded,96,0.9791666666666666,0.4166666666666667,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.03125,0.5520833333333334,0.3229166666666667,0.041666666666666664,1.09375,0.8645833333333334,0.0,1.0,0.9085416666666678,0.3643062500000002,0.49187500000000123,0.5625,0.0,0.0425531914893617,0.16666666666666666,1.1333854166666666
granite3.2-vision:latest,rubric_guided,layout_change_spec,mutation_description_derived,120,1.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.6333333333333333,0.625,0.0,0.0,0.9500000000000018,0.34,0.5750000000000018,0.625,0.0,0.0,0.0,0.7922583333333335
granite3.2-vision:latest,rubric_guided,synthetic_defect,synthetic_injected,96,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.96875,0.3541666666666667,0.0,0.96875,1.34375,0.0,1.0,0.9459375000000015,0.0034343750000000034,0.9259375000000015,0.96875,0.0,0.03125,0.03125,0.8182500000000003
granite3.2-vision:latest,rubric_guided,testing_rule_spec,rule_spec_derived,5,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.6,0.6,0.0,0.0,0.95,0.5425,0.35,0.4,0.0,0.0,0.0,0.8192
granite3.2-vision:latest,zero_shot,acceptance_criterion,rule_seeded,96,1.0,0.71875,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.28125,0.07291666666666667,0.07291666666666667,0.4375,0.4166666666666667,0.0,1.0,0.9391666666666679,0.6329083333333342,0.22958333333333467,0.28125,0.0,0.0,0.08333333333333333,0.8239270833333333
